,Comment,Category Comment,Target_type
0,the people who liked this comment is officially before views,neutral,0
1,lets be honest this wasnt your recommendation you searched for it,neutral,0
2,million comments if you find mine your legend,positive,1
3,the ones who are not from tik tok can like this comment,negative,2
4,the first viewer must feel like the king of the world,positive,1
5,just imagine how many peoples come here everyday,positive,1
6,comments if you find mine you are legend,positive,1
7,who just came to check the views,neutral,0
8,imagine how many armys coming here every secondsminuteshours,neutral,0
9,hey mikee,positive,1
10,these dislikes were people from who didnt sing despacito carefully,negative,2
11,can you stop liking now the notifications getting annoying,negative,2
12,just imagine how many people come here everyday,neutral,0
13,who just came to check if it had more views than the world population,neutral,0
14,the people who liked comments is officially views,neutral,0
15,dont worry youre not the only one whos watching this during quarantine,positive,1
16,look at that person reading all the new comments and liked it,positive,1
17,people are coming here everyday only to check if the song has reached views,neutral,0
18,only people who didnt came from tik tok are worthy of liking this,negative,2
19,those who are officially before billion views like here,neutral,0
20,dont worry youre not the only one who came to check the views,positive,1
21,people who liked this comment is officially before billion views,neutral,0
22,people who like this are officially here before billion,neutral,0
23,honestly who just came to check views,neutral,0
24,everyones just coming back to see the views,neutral,0
25,the number of people who have watched this is probably under billion,neutral,0
26,if youre watching this during quarantine youre legend,positive,1
27,dear stranger whoever reads this comment may your parents live years,positive,1
28,the whole world literally heard this song,positive,1
29,this comment makes no sense but still wrote this comment that makes no sense so why did write this comment that make no sense even though it makes no sense so why read comment that doesnt make sense it doesnt make sense does this comment even make sense my brain hurts from writing this comment that makes no sense even though wanted to write this comment which makes no sense because why would make comment that makes no sense someone help me please my brain hurts like if your brain hurts after reading this comment,neutral,0
30,it has mor dislikes than de average likes of big youtuber,negative,2
31,years later if youre watching this youre legend,positive,1
32,refuse to believe that this song is years old it seems like yesterday,positive,1
33,if youre watching this in quarantine youre legend,positive,1
34,cant actually believe hes father now,positive,1
35,youtube is the closest thing we can ever get to time machine,positive,1
36,the people who liked this comment is officially before billion views,neutral,0
37,refuse to believe that this song is years old it feels like yesterday,positive,1
