Video Name,Channel Name,Comment Id,User Name,Comment,Date,Likes,Category Comment
Luis Fonsi - Despacito ft. Daddy Yankee,LuisFonsiVEVO,UgwV0tapZzaFxdYm1z14AaABAg,GAMIT yuvraj,The people who liked this comment is officially before 7B views,2020-08-10T20:00:43Z,98280,neutral
Luis Fonsi - Despacito ft. Daddy Yankee,LuisFonsiVEVO,UgzXUsI6yrRjTKNASf94AaABAg,Srivathsa D,Let's be honest this wasn't your recommendation you searched for it,2020-09-09T03:41:34Z,13,neutral
Luis Fonsi - Despacito ft. Daddy Yankee,LuisFonsiVEVO,UgzryH8U6Dz_yBmIgEZ4AaABAg,LR ICED WOLF,3.2 Million comments if you find mine your a legend,2020-03-15T21:11:08Z,370547,positive
Luis Fonsi - Despacito ft. Daddy Yankee,LuisFonsiVEVO,Ugw61yKNdyVJ5T4R_sN4AaABAg,MemeDille,The ones who are NOT from Tik-Tok can like this comment.,2020-09-08T08:44:47Z,94,negative
Luis Fonsi - Despacito ft. Daddy Yankee,LuisFonsiVEVO,UgxcqxyEw2jU7KvhofV4AaABAg,cruisendude,The first viewer must feel like the king of the world...,2020-08-21T23:15:01Z,36446,positive
Luis Fonsi - Despacito ft. Daddy Yankee,LuisFonsiVEVO,Ugy-CwNxTeLKUuYOXdF4AaABAg,Pls HeLP Me reach 100 SUBscribers,Just imagine how many people's come here everyday..,2020-09-09T05:43:47Z,142,positive
Luis Fonsi - Despacito ft. Daddy Yankee,LuisFonsiVEVO,UgwxXGcEfq1XTFgIHdZ4AaABAg,Mikhil Das,3.5 M Comments if you find mine you are a legend,2020-09-09T08:46:45Z,10,positive
Luis Fonsi - Despacito ft. Daddy Yankee,LuisFonsiVEVO,UgwOBGutUxio5Z2MWMd4AaABAg,Anshu Soren,Who just came to check the views?,2019-04-27T06:58:42Z,321690,neutral
Luis Fonsi - Despacito ft. Daddy Yankee,LuisFonsiVEVO,UgxMNFdhkeVqZluojzt4AaABAg,the funny leggend,"Imagine how many army's coming here every seconds,minutes,hours.",2020-09-07T16:45:18Z,166,neutral
Luis Fonsi - Despacito ft. Daddy Yankee,LuisFonsiVEVO,UgyXh-VgAqQWuK59myl4AaABAg,LORD MAGA,Hey mikee,2020-09-09T09:38:34Z,7,positive
Luis Fonsi - Despacito ft. Daddy Yankee,LuisFonsiVEVO,Ugybqlz0NN2lVWTPh5Z4AaABAg,ash blog,The people who liked this comment is officially before 7B views,2020-09-08T12:40:02Z,2,neutral
Luis Fonsi - Despacito ft. Daddy Yankee,LuisFonsiVEVO,UgzyyzVh43JxbeW3DfV4AaABAg,SevenUpcooler,These dislikes were people from who didn't sing despacito carefully,2020-09-08T13:58:47Z,4,negative
Luis Fonsi - Despacito ft. Daddy Yankee,LuisFonsiVEVO,UgxNc1iTJXQI1CgbfAh4AaABAg,FaTaL X,Can you stop liking now the notifications getting annoying,2020-03-23T15:37:05Z,13512,negative
Luis Fonsi - Despacito ft. Daddy Yankee,LuisFonsiVEVO,UgyfuuzvN53HKOUGLLR4AaABAg,Hossain amjad 98,The people who liked this comment is officially before 7B views,2020-09-08T14:30:29Z,1,neutral
Luis Fonsi - Despacito ft. Daddy Yankee,LuisFonsiVEVO,UgzFLMTyJBP-vnySCTB4AaABAg,ash blog,The people who liked this comment is officially before 7B views,2020-09-08T12:39:57Z,1,neutral
