,Comment,Category Comment
0,the people who liked this comment is officially before views,neutral
1,lets be honest this wasnt your recommendation you searched for it,neutral
2,million comments if you find mine your legend,positive
3,the ones who are not from tik tok can like this comment,negative
4,the first viewer must feel like the king of the world,positive
5,just imagine how many peoples come here everyday,positive
6,comments if you find mine you are legend,positive
7,who just came to check the views,neutral
8,imagine how many armys coming here every secondsminuteshours,neutral
9,hey mikee,positive
10,these dislikes were people from who didnt sing despacito carefully,negative
11,can you stop liking now the notifications getting annoying,negative
12,just imagine how many people come here everyday,neutral
13,who just came to check if it had more views than the world population,neutral
14,the people who liked comments is officially views,neutral
15,dont worry youre not the only one whos watching this during quarantine,positive
16,look at that person reading all the new comments and liked it,positive
17,people are coming here everyday only to check if the song has reached views,neutral
18,only people who didnt came from tik tok are worthy of liking this,negative
19,those who are officially before billion views like here,neutral
20,dont worry youre not the only one who came to check the views,positive
21,people who liked this comment is officially before billion views,neutral
22,people who like this are officially here before billion,neutral
23,honestly who just came to check views,neutral
24,everyones just coming back to see the views,neutral
25,the number of people who have watched this is probably under billion,neutral
26,if youre watching this during quarantine youre legend,positive
27,dear stranger whoever reads this comment may your parents live years,positive
28,the whole world literally heard this song,positive
29,this comment makes no sense but still wrote this comment that makes no sense so why did write this comment that make no sense even though it makes no sense so why read comment that doesnt make sense it doesnt make sense does this comment even make sense my brain hurts from writing this comment that makes no sense even though wanted to write this comment which makes no sense because why would make comment that makes no sense someone help me please my brain hurts like if your brain hurts after reading this comment,neutral
30,it has mor dislikes than de average likes of big youtuber,negative
31,years later if youre watching this youre legend,positive
32,refuse to believe that this song is years old it seems like yesterday,positive
33,if youre watching this in quarantine youre legend,positive
34,cant actually believe hes father now,positive
35,youtube is the closest thing we can ever get to time machine,positive
36,the people who liked this comment is officially before billion views,neutral
37,refuse to believe that this song is years old it feels like yesterday,positive
38,years lateryoure watching this youre legend,positive
39,how many people are watching this in april,neutral
40,years laterif youre watching this youre legend,positive
41,the people who like this comment is officially before views,neutral
42,just imagine who is here everyday,neutral
43,this guy never sings just talks the words no real musicand hes made lots of doshwhy,negative
44,listening to this to remember the old days where corona only was drink,positive
45,this song gives us new taste everyday in everytime and everymoment,positive
46,the people who liked this comment are officially before billion,neutral
47,the people who liked this comment are officially before billion views,neutral
48,people who like this comment are officially licensed to be before billion,neutral
49,dont worry youre not the only one watching this during quarantine,positive
50,dont asking how watching this in beacuse we never left,positive
51,whoever likes this is offically here before milliard views,neutral
52,feel like everybody relistening to them old songs,neutral
53,love how before ed sheeran was talking about stitches lol,positive
54,at my funeral want someone to play this tune on the marimba,positive
55,if you read this merry christmas,positive
56,pray who ever reads this becomes successful,positive
57,the million people who disliked this song must have had their phone upside down lmao,negative
58,everyone who is reading this pray for your good health stay happy stay safe take care,positive
59,lets be honest this song is better than despacito,positive
60,red hair second hand clothes he must be weasly,neutral
